Id,Date__c,Start_time__c,End_Time__c,HolidayName__c,On_Call_Type_c__c,RecordType.name,Registered_Manager__c,Registered_SRE__c,Shift_Worked__c,Time_Zone__c,UserRegion__c,UserSubRegion__c,RegionInformation__c,RegionInformation__r.start_time__c,RegionInformation__r.end_time__c
a1j0e000006Kya6AAC,24/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0057V000009BVfD,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006Kya7AAC,24/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0057V000009BaGw,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006Kya8AAC,24/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,00532000005X1KX,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006Kya9AAC,24/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e000006NdD8AAK,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,CN-Beijing,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyaAAAS,24/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0057V000009MiNi,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyaBAAS,24/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e000006Rv9wAAC,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,CN-Beijing,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyaCAAS,24/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e000006RsyX,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyaDAAS,24/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e000006SFiN,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyaEAAS,24/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e000006S5sDAAS,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,CN-Beijing,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyaFAAS,24/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e000006Rv8jAAC,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,CN-Beijing,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyaGAAS,24/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e0000075FL7,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyaHAAS,24/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,00532000005XE8PAAW,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,CN-Beijing,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
